method,dataset,site,horizon_steps,forecast_kind,mae,rmse,sum_absolute_error,sum_squared_error,points,origins
E0_last_value,MMSP_published_series,32,1,post,0.05782046169042587,0.09609653055667877,147.153076171875,23.501911163330078,2545,2545
E0_last_value,MMSP_published_series,32,4,raw,0.12367526441812515,0.20347145199775696,1259.01416015625,421.45843505859375,10180,2545
E0_last_value,MMSP_published_series,32,4,post,0.12367526441812515,0.20347145199775696,1259.01416015625,421.45843505859375,10180,2545
E0_last_value,MMSP_published_series,32,24,raw,0.23849661648273468,0.33808043599128723,14567.373046875,6981.34521484375,61080,2545
E0_last_value,MMSP_published_series,32,24,post,0.23849661648273468,0.33808043599128723,14567.373046875,6981.34521484375,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,32,1,raw,0.06398551911115646,0.13529624044895172,162.84315490722656,46.5864143371582,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,32,1,post,0.06398551911115646,0.13529624044895172,162.84315490722656,46.5864143371582,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,32,4,raw,0.06398551911115646,0.13529625535011292,651.3726196289062,186.34567260742188,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,32,4,post,0.06398551911115646,0.13529625535011292,651.3726196289062,186.34567260742188,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,32,24,raw,0.06381498277187347,0.13511739671230316,3897.819091796875,1115.1199951171875,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,32,24,post,0.06381498277187347,0.13511739671230316,3897.819091796875,1115.1199951171875,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,32,1,raw,0.056545764207839966,0.11470748484134674,143.90896606445312,33.48661804199219,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,32,1,post,0.056545764207839966,0.11470748484134674,143.90896606445312,33.48661804199219,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,32,4,raw,0.056545764207839966,0.11470749229192734,575.6358642578125,133.9464874267578,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,32,4,post,0.056545764207839966,0.11470749229192734,575.6358642578125,133.9464874267578,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,32,24,raw,0.056500714272260666,0.1146705225110054,3451.063720703125,803.1610717773438,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,32,24,post,0.056500714272260666,0.1146705225110054,3451.063720703125,803.1610717773438,61080,2545
E1_original_chronos2,MMSP_published_series,32,1,raw,0.0284302718937397,0.05946202576160431,72.35504150390625,8.99843978881836,2545,2545
E1_original_chronos2,MMSP_published_series,32,1,post,0.028421655297279358,0.05946191027760506,72.33311462402344,8.998404502868652,2545,2545
E1_original_chronos2,MMSP_published_series,32,4,raw,0.03802831098437309,0.0801413506269455,387.1282043457031,65.38243865966797,10180,2545
E1_original_chronos2,MMSP_published_series,32,4,post,0.0380232036113739,0.08014131337404251,387.0762023925781,65.38236999511719,10180,2545
E1_original_chronos2,MMSP_published_series,32,24,raw,0.05078341066837311,0.10749141126871109,3101.850830078125,705.7429809570312,61080,2545
E1_original_chronos2,MMSP_published_series,32,24,post,0.050781022757291794,0.1074913963675499,3101.704833984375,705.7427978515625,61080,2545
E0_last_value,MMSP_published_series,36,1,raw,0.06053956598043442,0.10030802339315414,154.0731964111328,25.607027053833008,2545,2545
E0_last_value,MMSP_published_series,36,1,post,0.06053956598043442,0.10030802339315414,154.0731964111328,25.607027053833008,2545,2545
E0_last_value,MMSP_published_series,36,4,raw,0.12506653368473053,0.20582887530326843,1273.17724609375,431.2810974121094,10180,2545
E0_last_value,MMSP_published_series,36,4,post,0.12506653368473053,0.20582887530326843,1273.17724609375,431.2810974121094,10180,2545
E0_last_value,MMSP_published_series,36,24,raw,0.24092493951320648,0.34130990505218506,14715.6953125,7115.35888671875,61080,2545
E0_last_value,MMSP_published_series,36,24,post,0.24092493951320648,0.34130990505218506,14715.6953125,7115.35888671875,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,36,1,raw,0.0637049749493599,0.13188393414020538,162.12916564941406,44.26612854003906,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,36,1,post,0.0637049749493599,0.13188393414020538,162.12916564941406,44.26612854003906,2545,2545
E0_daily_seasonal_persistence,MMSP_published_series,36,4,raw,0.0637049749493599,0.13188393414020538,648.5166625976562,177.06454467773438,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,36,4,post,0.0637049749493599,0.13188393414020538,648.5166625976562,177.06454467773438,10180,2545
E0_daily_seasonal_persistence,MMSP_published_series,36,24,raw,0.06360910832881927,0.13182847201824188,3885.244384765625,1061.4937744140625,61080,2545
E0_daily_seasonal_persistence,MMSP_published_series,36,24,post,0.06360910832881927,0.13182847201824188,3885.244384765625,1061.4937744140625,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,36,1,raw,0.05681682378053665,0.11607706546783447,144.59881591796875,34.291038513183594,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,36,1,post,0.05681682378053665,0.11607706546783447,144.59881591796875,34.291038513183594,2545,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,36,4,raw,0.05681682378053665,0.11607706546783447,578.395263671875,137.16415405273438,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,36,4,post,0.05681682378053665,0.11607706546783447,578.395263671875,137.16415405273438,10180,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,36,24,raw,0.05691119655966759,0.1161179319024086,3476.135986328125,823.5645141601562,61080,2545
E0_past_7_days_same_hour_mean,MMSP_published_series,36,24,post,0.05691119655966759,0.1161179319024086,3476.135986328125,823.5645141601562,61080,2545
E1_original_chronos2,MMSP_published_series,36,1,raw,0.031369611620903015,0.06264498829841614,79.83566284179688,9.987584114074707,2545,2545
E1_original_chronos2,MMSP_published_series,36,1,post,0.031357795000076294,0.06264490634202957,79.80558776855469,9.987558364868164,2545,2545
E1_original_chronos2,MMSP_published_series,36,4,raw,0.039659325033426285,0.0815083384513855,403.73193359375,67.63194274902344,10180,2545
E1_original_chronos2,MMSP_published_series,36,4,post,0.03965241461992264,0.08150830119848251,403.6615905761719,67.63188171386719,10180,2545
